"filename", "language", "JavaScript", "JSON", "TypeScript", "YAML", "JSON with Comments", "HTML", "CSS", "TypeScript JSX", "Markdown", "SCSS", "MDX", "Ignore", "comment", "blank", "total"
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\theme-default\Layout\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 4, 2, 31
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\theme-default\components\Button\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 10, 64
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\theme-default\components\Button\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 5, 41
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\theme-default\components\HomeFeatrue\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\theme-default\components\HomeFeatrue\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 2, 34
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\theme-default\components\HomeHero\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\theme-default\components\HomeHero\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 1, 47
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\theme-default\components\Link\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\theme-default\components\Link\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\theme-default\components\Nav\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
